city,timestamp,temperature,season
New York,2010-01-01,-3.5221260340461176,winter
New York,2010-01-02,5.784648504060916,winter
New York,2010-01-03,-3.2883952610526803,winter
New York,2010-01-04,0.04218863200500128,winter
New York,2010-01-05,2.1519589205166794,winter
New York,2010-01-06,-0.21172713506238452,winter
New York,2010-01-07,2.0876986804936117,winter
New York,2010-01-08,1.3427593576102481,winter
New York,2010-01-09,7.3453082760143085,winter
New York,2010-01-10,6.992161241525881,winter
New York,2010-01-11,-3.220260459685087,winter
New York,2010-01-12,2.0886918391554543,winter
New York,2010-01-13,0.6808450944121522,winter
New York,2010-01-14,0.8394577672514889,winter
New York,2010-01-15,0.026755416621405757,winter
New York,2010-01-16,-2.1370230955858354,winter
New York,2010-01-17,-2.0229346945745523,winter
New York,2010-01-18,-7.363173899307749,winter
New York,2010-01-19,17.394018966779893,winter
New York,2010-01-20,-0.8583677109219454,winter
New York,2010-01-21,-2.357547441299314,winter
New York,2010-01-22,4.516614798886972,winter
New York,2010-01-23,0.45684435442059573,winter
New York,2010-01-24,5.10381704764026,winter
New York,2010-01-25,-5.774508498856152,winter
New York,2010-01-26,7.516274469834516,winter
New York,2010-01-27,-2.409525929632703,winter
New York,2010-01-28,3.7210873781900577,winter
New York,2010-01-29,1.5421260976135316,winter
New York,2010-01-30,-10.92848036908492,winter
New York,2010-01-31,2.857440839820369,winter
New York,2010-02-01,5.822675193992075,winter
New York,2010-02-02,7.591166544050313,winter
New York,2010-02-03,-0.5436429960944504,winter
New York,2010-02-04,2.0124815801509897,winter
New York,2010-02-05,4.429800788782448,winter
New York,2010-02-06,-1.5487817949635476,winter
New York,2010-02-07,-0.7130507755397573,winter
New York,2010-02-08,5.865587356879086,winter
New York,2010-02-09,5.465494568753701,winter
New York,2010-02-10,-1.6531223858651205,winter
New York,2010-02-11,-5.998611103024723,winter
New York,2010-02-12,-6.900162402577634,winter
New York,2010-02-13,3.275527742224289,winter
New York,2010-02-14,-4.142622169783884,winter
New York,2010-02-15,-0.48512428833175547,winter
New York,2010-02-16,-2.6240320311918035,winter
New York,2010-02-17,2.395536348742335,winter
New York,2010-02-18,-10.489009077783313,winter
New York,2010-02-19,-10.77061026100262,winter
New York,2010-02-20,-4.121545659193597,winter
New York,2010-02-21,-2.055069775901957,winter
New York,2010-02-22,9.110035879855952,winter
New York,2010-02-23,8.554990745918143,winter
New York,2010-02-24,5.076508139069174,winter
New York,2010-02-25,5.22814086281981,winter
New York,2010-02-26,0.5922488134922468,winter
New York,2010-02-27,5.611054508373188,winter
New York,2010-02-28,-8.035602276563976,winter
New York,2010-03-01,5.267494143389494,spring
New York,2010-03-02,5.696964677007815,spring
New York,2010-03-03,15.240225712567593,spring
New York,2010-03-04,7.6229622158258294,spring
New York,2010-03-05,23.144539412655543,spring
New York,2010-03-06,16.558396193670923,spring
New York,2010-03-07,10.793657900225803,spring
New York,2010-03-08,13.420719389319563,spring
New York,2010-03-09,14.635060321925094,spring
New York,2010-03-10,6.103163247239184,spring
New York,2010-03-11,4.218778038861063,spring
New York,2010-03-12,12.461328446229455,spring
New York,2010-03-13,3.698451040323627,spring
New York,2010-03-14,6.072572404297141,spring
New York,2010-03-15,7.631561000116199,spring
New York,2010-03-16,14.864876037949733,spring
New York,2010-03-17,13.474591536073465,spring
